epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8604,2.21825,8.59258,1.39949,0.29864,0.37848,0.23639,0.09236,2.21563,2.20007,1.41173,0.000550375,0.000550375,0.000550375
2,151.976,2.0468,2.70617,1.32194,0.39065,0.4661,0.41678,0.20123,1.75577,1.88951,1.22447,0.00109144,0.00109144,0.00109144
3,226.941,1.9701,2.22718,1.27007,0.45079,0.55705,0.49124,0.22852,1.80484,1.68618,1.23567,0.00161784,0.00161784,0.00161784
4,301.617,1.93823,2.08885,1.21479,0.61499,0.55681,0.58823,0.27606,1.72797,2.01357,1.16589,0.00160099,0.00160099,0.00160099
5,376.088,1.90745,1.93175,1.24262,0.51347,0.60611,0.54761,0.21227,1.89029,1.72141,1.22028,0.00157898,0.00157898,0.00157898
6,450.549,1.90367,1.97486,1.26847,0.65523,0.61936,0.63882,0.33305,1.72708,1.54607,1.13641,0.00155698,0.00155698,0.00155698
7,525.268,1.81965,1.79735,1.1963,0.68987,0.58038,0.62749,0.33356,1.63185,1.63716,1.08589,0.00153497,0.00153497,0.00153497
8,599.979,1.86186,1.79543,1.20084,0.57123,0.64759,0.61378,0.28629,1.71658,1.43716,1.14763,0.00151297,0.00151297,0.00151297
9,673.996,1.7737,1.80449,1.18485,0.6247,0.61083,0.60482,0.31169,1.59238,1.47092,1.10157,0.00149096,0.00149096,0.00149096
10,749.543,1.73244,1.63121,1.17769,0.60678,0.58454,0.6266,0.30163,1.65475,1.47279,1.11577,0.00146896,0.00146896,0.00146896
11,825.142,1.75749,1.57934,1.15958,0.80979,0.65809,0.72934,0.38993,1.57917,1.15601,1.1007,0.00144696,0.00144696,0.00144696
12,899.517,1.7573,1.72012,1.18061,0.72096,0.65965,0.68688,0.33757,1.61505,1.30281,1.11538,0.00142495,0.00142495,0.00142495
13,973.986,1.69826,1.59108,1.14471,0.71021,0.55735,0.6566,0.33565,1.62596,1.53063,1.10436,0.00140295,0.00140295,0.00140295
14,1048.79,1.68968,1.58066,1.12815,0.64253,0.61269,0.60969,0.29942,1.59896,1.55545,1.0679,0.00138094,0.00138094,0.00138094
15,1123.48,1.68784,1.6021,1.13295,0.78291,0.64877,0.69584,0.37744,1.48991,1.44004,1.04688,0.00135894,0.00135894,0.00135894
16,1197.71,1.6725,1.53755,1.1182,0.68573,0.66122,0.72258,0.38016,1.57616,1.24932,1.0827,0.00133693,0.00133693,0.00133693
17,1272.76,1.63489,1.43467,1.10669,0.7717,0.60661,0.69436,0.33662,1.67032,1.26404,1.08817,0.00131493,0.00131493,0.00131493
18,1346.75,1.66946,1.51498,1.12823,0.76821,0.69738,0.73098,0.37891,1.59055,1.27704,1.08693,0.00129293,0.00129293,0.00129293
19,1421.81,1.61817,1.47155,1.12629,0.77079,0.65384,0.70819,0.39234,1.56588,1.3495,1.04255,0.00127092,0.00127092,0.00127092
20,1495.84,1.59787,1.42734,1.11956,0.85943,0.66861,0.76448,0.42822,1.51573,1.10559,1.06038,0.00124892,0.00124892,0.00124892
21,1569.55,1.60903,1.34008,1.09834,0.86572,0.69148,0.75496,0.39295,1.55787,1.07813,1.06078,0.00122691,0.00122691,0.00122691
22,1644.14,1.6048,1.34894,1.09342,0.84006,0.68913,0.77064,0.39241,1.54004,1.22415,1.05894,0.00120491,0.00120491,0.00120491
23,1719.36,1.55423,1.31841,1.0881,0.91851,0.67962,0.79354,0.43268,1.5429,1.06495,1.05058,0.0011829,0.0011829,0.0011829
24,1793.32,1.54776,1.24295,1.08335,0.88376,0.67169,0.77966,0.41369,1.49427,1.07225,1.02389,0.0011609,0.0011609,0.0011609
25,1867.54,1.54366,1.26959,1.07402,0.85738,0.72696,0.79256,0.44808,1.4579,1.07983,1.04248,0.00113889,0.00113889,0.00113889
26,1942.7,1.53304,1.24799,1.07792,0.90015,0.64395,0.75637,0.41845,1.53311,0.99592,1.03768,0.00111689,0.00111689,0.00111689
27,2017.49,1.543,1.19979,1.05313,0.89159,0.71541,0.79941,0.44551,1.5627,0.95204,1.06727,0.00109489,0.00109489,0.00109489
28,2092.45,1.55764,1.20394,1.07707,0.90814,0.69499,0.76894,0.44645,1.52531,0.98979,1.05721,0.00107288,0.00107288,0.00107288
29,2165.82,1.4902,1.16906,1.07725,0.88664,0.71344,0.78693,0.43133,1.48296,1.01917,1.03366,0.00105088,0.00105088,0.00105088
30,2240,1.51029,1.19801,1.06046,0.88984,0.68526,0.78965,0.44025,1.44894,1.00187,1.01902,0.00102887,0.00102887,0.00102887
31,2314.34,1.49903,1.20566,1.06095,0.87155,0.72408,0.79791,0.47377,1.42205,0.92198,1.01808,0.00100687,0.00100687,0.00100687
32,2389.09,1.47931,1.13158,1.04649,0.9018,0.77483,0.84575,0.50553,1.39409,0.96,1.01223,0.000984864,0.000984864,0.000984864
33,2464.45,1.46003,1.12675,1.05818,0.84175,0.73578,0.78797,0.46378,1.42459,0.90159,1.01314,0.000962859,0.000962859,0.000962859
34,2538.58,1.48629,1.11523,1.04782,0.85262,0.77386,0.80972,0.45874,1.42648,0.92076,1.0184,0.000940855,0.000940855,0.000940855
35,2612.26,1.48609,1.11852,1.05944,0.86245,0.71248,0.79652,0.45387,1.42576,0.93256,1.01073,0.00091885,0.00091885,0.00091885
36,2686.49,1.44509,1.04363,1.02178,0.84251,0.79176,0.83472,0.47346,1.42466,0.88614,0.99839,0.000896846,0.000896846,0.000896846
37,2760.35,1.4573,1.10469,1.05605,0.90135,0.69764,0.78414,0.46885,1.44063,0.91292,1.02426,0.000874842,0.000874842,0.000874842
38,2834.87,1.46296,1.04138,1.0416,0.88758,0.73938,0.8188,0.47879,1.4502,0.91736,1.03548,0.000852837,0.000852837,0.000852837
39,2910.21,1.42537,1.02689,1.02041,0.8284,0.75365,0.82383,0.51228,1.33946,0.8718,0.98927,0.000830833,0.000830833,0.000830833
40,2984.3,1.39644,1.01789,1.00815,0.88848,0.76537,0.82842,0.49205,1.36429,0.88085,0.9897,0.000808828,0.000808828,0.000808828
41,3057.76,1.43113,1.02171,1.02807,0.91824,0.73755,0.82943,0.49824,1.34698,0.88682,0.98998,0.000786824,0.000786824,0.000786824
42,3131.62,1.35262,0.97422,1.01863,0.90388,0.75904,0.82809,0.51624,1.3649,0.82101,0.99786,0.00076482,0.00076482,0.00076482
43,3205.83,1.37095,0.96719,1.01374,0.8641,0.76179,0.81356,0.49137,1.38635,0.85566,1.00455,0.000742815,0.000742815,0.000742815
44,3280.92,1.36621,0.96738,1.00704,0.86,0.76329,0.8084,0.47045,1.41734,0.88693,1.00489,0.000720811,0.000720811,0.000720811
45,3356.7,1.38944,0.99107,1.01919,0.88172,0.76553,0.81733,0.49226,1.3962,0.85423,1.00026,0.000698806,0.000698806,0.000698806
46,3430.86,1.38914,0.95786,1.01116,0.90719,0.68099,0.80333,0.47861,1.38373,0.8955,0.98949,0.000676802,0.000676802,0.000676802
47,3505.04,1.35044,0.89972,1.0034,0.92124,0.72397,0.80204,0.49491,1.37878,0.84162,0.99173,0.000654798,0.000654798,0.000654798
48,3580.36,1.38671,0.92807,1.0145,0.90651,0.74605,0.80125,0.49956,1.38633,0.8283,0.99005,0.000632793,0.000632793,0.000632793
49,3655.62,1.35865,0.92131,1.01008,0.88979,0.75456,0.82051,0.50118,1.35048,0.84328,0.99232,0.000610789,0.000610789,0.000610789
50,3729.59,1.30638,0.89539,0.991,0.87012,0.77149,0.81849,0.5091,1.3352,0.8498,0.97794,0.000588784,0.000588784,0.000588784
51,3803.89,1.29648,0.87078,0.98875,0.91741,0.72639,0.80612,0.51046,1.33076,0.84909,0.97181,0.00056678,0.00056678,0.00056678
52,3878.16,1.28926,0.85709,0.98946,0.88729,0.7766,0.82631,0.52836,1.32052,0.80182,0.98842,0.000544776,0.000544776,0.000544776
53,3952.84,1.29667,0.85775,0.98446,0.91154,0.72498,0.8134,0.51405,1.30605,0.82559,0.97385,0.000522771,0.000522771,0.000522771
54,4027.56,1.27581,0.81617,0.98452,0.89331,0.74828,0.81155,0.51354,1.3015,0.84512,0.98107,0.000500767,0.000500767,0.000500767
55,4101.78,1.2904,0.82779,0.97969,0.86913,0.78203,0.83286,0.53044,1.31389,0.83529,0.97302,0.000478762,0.000478762,0.000478762
56,4177.67,1.30962,0.86047,0.99547,0.88147,0.76265,0.83063,0.52764,1.29603,0.85752,0.97127,0.000456758,0.000456758,0.000456758
57,4251.88,1.26773,0.82314,0.97577,0.93285,0.73987,0.83593,0.50995,1.32448,0.82955,0.97234,0.000434754,0.000434754,0.000434754
58,4326.48,1.25585,0.79513,0.96544,0.88938,0.78827,0.84135,0.53431,1.29186,0.78892,0.95916,0.000412749,0.000412749,0.000412749
59,4400.57,1.27399,0.80493,0.97152,0.89439,0.78132,0.82923,0.52625,1.29828,0.81338,0.95799,0.000390745,0.000390745,0.000390745
60,4474.28,1.23513,0.78111,0.9652,0.87623,0.78686,0.82495,0.5179,1.3179,0.81198,0.96798,0.00036874,0.00036874,0.00036874
61,4548.26,1.24113,0.79568,0.96817,0.88899,0.75313,0.81896,0.52021,1.2869,0.77714,0.96807,0.000346736,0.000346736,0.000346736
62,4622.57,1.23483,0.76646,0.95907,0.89523,0.76269,0.81986,0.52538,1.26171,0.77142,0.95362,0.000324732,0.000324732,0.000324732
63,4696.82,1.21332,0.7787,0.97153,0.88703,0.75638,0.81515,0.52026,1.26337,0.80327,0.95668,0.000302727,0.000302727,0.000302727
64,4770.65,1.2165,0.78125,0.9642,0.90169,0.74772,0.82107,0.5239,1.31626,0.83092,0.9765,0.000280723,0.000280723,0.000280723
65,4845.59,1.24118,0.81071,0.96251,0.83957,0.78847,0.81958,0.52359,1.28317,0.80277,0.95989,0.000258718,0.000258718,0.000258718
66,4920.86,1.15872,0.72761,0.96924,0.90036,0.76379,0.82155,0.52844,1.26737,0.76239,0.96424,0.000236714,0.000236714,0.000236714
