epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1571,1.66055,6.83492,1.08201,0.76793,0.37818,0.42832,0.20411,1.61211,2.13871,0.96243,0.000464425,0.000464425,0.000464425
2,36.5301,1.58714,1.93237,1.04581,0.53615,0.50798,0.47507,0.20833,1.76745,1.87487,1.02421,0.00092834,0.00092834,0.00092834
3,52.8602,1.71228,1.85157,1.06093,0.78776,0.38204,0.44738,0.21298,1.6376,1.91228,0.97718,0.00137968,0.00137968,0.00137968
4,70.1992,1.55848,1.56192,1.04406,0.4594,0.42817,0.40849,0.18302,1.75568,1.63982,1.02236,0.00137241,0.00137241,0.00137241
5,88.2097,1.6025,1.52981,1.02518,0.54321,0.42131,0.42847,0.19057,1.74135,1.72793,1.02111,0.00135355,0.00135355,0.00135355
6,104.442,1.54655,1.42862,1.01097,0.49051,0.54358,0.46174,0.21587,1.77,1.69631,1.0405,0.00133469,0.00133469,0.00133469
7,120.812,1.54373,1.41486,1.02323,0.50544,0.49935,0.482,0.24379,1.73622,1.59658,1.02706,0.00131582,0.00131582,0.00131582
8,137.965,1.4789,1.28449,1.01096,0.49448,0.50169,0.4901,0.20294,1.75342,1.59096,1.00916,0.00129696,0.00129696,0.00129696
9,154.249,1.44745,1.2084,0.99146,0.56224,0.48404,0.4827,0.23938,1.73795,1.48671,1.01235,0.0012781,0.0012781,0.0012781
10,170.481,1.48654,1.24541,1.04031,0.65351,0.45763,0.49591,0.23495,1.75797,1.48274,1.04066,0.00125923,0.00125923,0.00125923
11,187.389,1.44929,1.20354,0.99447,0.60065,0.5205,0.52051,0.24606,1.66547,1.49642,0.99593,0.00124037,0.00124037,0.00124037
12,203.704,1.47301,1.19486,0.99405,0.59303,0.50149,0.52317,0.25474,1.59613,1.50287,0.98667,0.00122151,0.00122151,0.00122151
13,219.958,1.46803,1.15779,0.99734,0.62502,0.49036,0.50369,0.23734,1.84126,1.39054,1.04061,0.00120265,0.00120265,0.00120265
14,236.904,1.47295,1.19697,0.99793,0.53897,0.52681,0.48154,0.23113,1.63933,1.5688,0.97724,0.00118378,0.00118378,0.00118378
15,253.936,1.50257,1.19799,0.98475,0.58336,0.48451,0.51842,0.26024,1.61573,1.40625,0.98344,0.00116492,0.00116492,0.00116492
16,270.504,1.34153,1.02867,0.96759,0.64424,0.49336,0.5523,0.27456,1.69829,1.34725,1.01031,0.00114606,0.00114606,0.00114606
17,286.622,1.37873,1.04229,0.96002,0.62715,0.48569,0.51273,0.24775,1.63204,1.41633,0.98115,0.0011272,0.0011272,0.0011272
18,303.604,1.37515,1.0467,0.9612,0.62984,0.48763,0.5312,0.25509,1.62578,1.4565,0.97334,0.00110833,0.00110833,0.00110833
19,321.171,1.37606,1.03084,0.96398,0.63458,0.51569,0.55068,0.27164,1.66417,1.34337,0.98126,0.00108947,0.00108947,0.00108947
20,337.372,1.36126,1.00565,0.95363,0.58634,0.49017,0.51483,0.24882,1.64548,1.4391,0.96978,0.00107061,0.00107061,0.00107061
21,354.31,1.38478,1.02869,0.96699,0.61102,0.44472,0.46004,0.2155,1.64962,1.59713,0.98092,0.00105174,0.00105174,0.00105174
22,371.749,1.31353,1.00112,0.93634,0.63617,0.47853,0.508,0.25749,1.63193,1.45006,0.98981,0.00103288,0.00103288,0.00103288
23,388.589,1.34343,0.99561,0.93856,0.5827,0.51749,0.5045,0.24734,1.72868,1.51227,1.01118,0.00101402,0.00101402,0.00101402
24,404.613,1.37349,0.98562,0.95104,0.59484,0.51069,0.53748,0.26977,1.66349,1.38958,0.99542,0.000995156,0.000995156,0.000995156
25,422.138,1.35849,0.99623,0.96069,0.50122,0.45872,0.46303,0.21538,1.89129,1.58291,1.05941,0.000976293,0.000976293,0.000976293
26,438.706,1.36216,1.00595,0.96048,0.52348,0.51103,0.50644,0.24972,1.67959,1.51172,0.99604,0.00095743,0.00095743,0.00095743
27,455.242,1.27843,0.95079,0.94913,0.61057,0.5031,0.55136,0.27313,1.63469,1.4041,0.9908,0.000938567,0.000938567,0.000938567
28,471.944,1.25142,0.90707,0.9395,0.51408,0.49508,0.48386,0.23331,1.63243,1.58988,0.98107,0.000919704,0.000919704,0.000919704
29,488.623,1.25898,0.89542,0.94908,0.57239,0.47332,0.50402,0.25128,1.67222,1.61693,0.99838,0.000900842,0.000900842,0.000900842
30,505.096,1.26173,0.92903,0.93883,0.561,0.50692,0.5152,0.25292,1.55032,1.61086,0.96335,0.000881979,0.000881979,0.000881979
31,521.558,1.2763,0.90278,0.91549,0.62996,0.48668,0.52856,0.26926,1.55962,1.56813,0.96119,0.000863116,0.000863116,0.000863116
32,538.42,1.27611,0.90855,0.92678,0.66164,0.48717,0.5515,0.27857,1.57437,1.3911,0.96602,0.000844253,0.000844253,0.000844253
33,554.81,1.26716,0.9157,0.93062,0.57648,0.49211,0.46812,0.24342,1.57326,1.57919,0.96331,0.00082539,0.00082539,0.00082539
34,571.563,1.29728,0.93006,1.03139,0.57305,0.50281,0.50665,0.24971,1.6289,1.48119,0.97415,0.000806528,0.000806528,0.000806528
35,588.864,1.19749,0.85552,0.928,0.82779,0.45122,0.56218,0.27963,1.60211,1.42898,0.97901,0.000787665,0.000787665,0.000787665
36,605.554,1.16364,0.84552,0.91443,0.56242,0.47907,0.52083,0.26865,1.51939,1.50213,0.95533,0.000768802,0.000768802,0.000768802
37,622.034,1.22725,0.86615,0.90548,0.66663,0.48168,0.53399,0.26825,1.54171,1.57384,0.96574,0.000749939,0.000749939,0.000749939
38,638.921,1.1655,0.82372,0.91528,0.61844,0.51412,0.55065,0.28053,1.51628,1.46343,0.9448,0.000731076,0.000731076,0.000731076
39,655.347,1.22705,0.87508,0.9177,0.65374,0.47028,0.5114,0.25382,1.53469,1.59195,0.93831,0.000712214,0.000712214,0.000712214
40,671.365,1.18712,0.83458,0.91979,0.53677,0.51026,0.53244,0.25849,1.59671,1.55736,0.95273,0.000693351,0.000693351,0.000693351
