epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7996,1.07017,0.78042,0.99002,0.6671,0.6389,0.67034,0.40369,1.31326,1.36477,1.07361,0.000470304,0.000470304,0.000470304
2,113.364,1.09313,0.79021,1.01268,0.68519,0.56852,0.62424,0.33742,1.46017,1.4472,1.12926,0.00085292,0.00085292,0.00085292
3,167.851,1.07626,0.8001,1.00231,0.74272,0.57772,0.66058,0.37636,1.46772,1.37411,1.13547,0.00114122,0.00114122,0.00114122
4,223.505,1.1286,0.90992,1.02754,0.69443,0.58038,0.63248,0.35566,1.38089,1.55283,1.1071,0.00100459,0.00100459,0.00100459
5,277.86,1.14854,0.89573,1.05543,0.63158,0.61642,0.63764,0.34918,1.4109,1.62741,1.10654,0.000863116,0.000863116,0.000863116
6,331.898,1.09476,0.79962,1.03258,0.67439,0.59275,0.63779,0.37135,1.37817,1.34642,1.09891,0.000721645,0.000721645,0.000721645
7,386.82,1.11467,0.84087,1.02777,0.68444,0.61378,0.66947,0.37971,1.36068,1.29608,1.08865,0.000580174,0.000580174,0.000580174
8,441.129,1.08235,0.81025,1.01907,0.78498,0.60205,0.69387,0.39925,1.30418,1.2329,1.07712,0.000438703,0.000438703,0.000438703
9,495.84,1.05776,0.74712,1.00708,0.72276,0.6192,0.67199,0.40371,1.31676,1.23451,1.07981,0.000297232,0.000297232,0.000297232
10,550.286,1.07806,0.7791,1.00848,0.74967,0.60439,0.66904,0.40165,1.32289,1.2883,1.07806,0.000155761,0.000155761,0.000155761
