epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9589,2.22492,14.3135,1.38457,0.7083,0.11083,0.12993,0.06318,1.71523,8.88108,1.11739,0.00051677,0.00051677,0.00051677
2,56.979,1.88029,6.17291,1.1431,0.47907,0.43414,0.37515,0.19324,1.65372,9.16427,1.10969,0.00103635,0.00103635,0.00103635
3,82.2222,2.05701,4.72733,1.22598,0.1382,0.51941,0.34586,0.1243,2.08559,8.62271,1.36704,0.00154184,0.00154184,0.00154184
4,108.05,2.11034,3.88457,1.29701,0,0,0,0,2.03696,inf,1.34331,0.00160099,0.00160099,0.00160099
5,132.213,1.94912,3.12983,1.23285,0.20256,0.30547,0.22913,0.11207,1.80717,2.23158,1.25838,0.00157898,0.00157898,0.00157898
6,156.923,1.96641,2.82603,1.28962,0.59033,0.18563,0.32512,0.14009,2.16755,2.37376,1.43581,0.00155698,0.00155698,0.00155698
7,180.954,1.94507,2.22616,1.21573,0.47557,0.44986,0.43888,0.21282,1.84916,1.7878,1.20508,0.00153497,0.00153497,0.00153497
8,205.304,1.83999,2.07046,1.18278,0.59331,0.43783,0.46462,0.2269,1.90004,1.80496,1.19745,0.00151297,0.00151297,0.00151297
9,230,1.79772,1.88024,1.1555,0.67511,0.33352,0.40303,0.19131,2.01811,1.95671,1.24403,0.00149096,0.00149096,0.00149096
10,253.935,1.83149,1.69854,1.12083,0.72241,0.50358,0.57854,0.28977,1.86768,1.775,1.18641,0.00146896,0.00146896,0.00146896
11,277.935,1.82558,1.7712,1.16974,0.59402,0.43988,0.4779,0.20604,2.02851,1.90686,1.25696,0.00144696,0.00144696,0.00144696
12,302.594,1.79765,1.58822,1.13869,0.74065,0.60428,0.68693,0.35524,1.6092,1.29431,1.07199,0.00142495,0.00142495,0.00142495
13,326.823,1.7311,1.46481,1.09424,0.66103,0.58216,0.6563,0.35561,1.5765,1.3485,1.0821,0.00140295,0.00140295,0.00140295
14,350.861,1.68473,1.34723,1.09331,0.81253,0.60336,0.6992,0.34748,1.65239,1.33358,1.09389,0.00138094,0.00138094,0.00138094
15,375.682,1.73523,1.40728,1.11686,0.76332,0.57669,0.64875,0.32086,1.74861,1.65697,1.12142,0.00135894,0.00135894,0.00135894
16,400.893,1.72246,1.29508,1.08939,0.83906,0.6236,0.71044,0.36478,1.63337,1.34998,1.09218,0.00133693,0.00133693,0.00133693
17,425.21,1.67321,1.23696,1.07363,0.85542,0.5698,0.67941,0.37041,1.63464,1.30471,1.10268,0.00131493,0.00131493,0.00131493
18,449.1,1.57785,1.22152,1.06652,0.83985,0.66006,0.74568,0.41275,1.60519,1.21476,1.11542,0.00129293,0.00129293,0.00129293
19,473.18,1.60957,1.30434,1.06883,0.75346,0.69384,0.77958,0.40848,1.63899,1.1039,1.08772,0.00127092,0.00127092,0.00127092
20,497.537,1.53069,1.22036,1.04627,0.8336,0.67323,0.75725,0.40294,1.57889,1.045,1.07853,0.00124892,0.00124892,0.00124892
21,521.961,1.54705,1.17113,1.03098,0.83041,0.67673,0.72041,0.40076,1.4948,1.04149,1.0356,0.00122691,0.00122691,0.00122691
22,546.612,1.53523,1.19565,1.03879,0.77361,0.672,0.72344,0.39238,1.56548,1.10094,1.05094,0.00120491,0.00120491,0.00120491
23,570.741,1.58035,1.08684,1.02977,0.85795,0.65601,0.74825,0.40142,1.64618,1.08578,1.09008,0.0011829,0.0011829,0.0011829
24,594.92,1.54832,1.09754,1.03737,0.86122,0.66781,0.75822,0.4323,1.49133,0.99163,1.03196,0.0011609,0.0011609,0.0011609
25,618.848,1.5478,1.15781,1.05284,0.81146,0.68108,0.74601,0.38684,1.6222,0.99951,1.08181,0.00113889,0.00113889,0.00113889
26,642.992,1.52201,1.0533,1.02325,0.80267,0.66717,0.73105,0.40673,1.57266,1.00836,1.0519,0.00111689,0.00111689,0.00111689
27,667.087,1.52646,1.03349,1.0118,0.8281,0.68664,0.76528,0.43488,1.5088,0.97774,1.0365,0.00109489,0.00109489,0.00109489
28,691.281,1.52142,1.04471,1.02586,0.84034,0.69649,0.76638,0.39297,1.62374,1.00998,1.06835,0.00107288,0.00107288,0.00107288
29,715.554,1.53955,1.07894,1.04986,0.80548,0.71073,0.76997,0.45109,1.48656,0.96858,1.02436,0.00105088,0.00105088,0.00105088
30,739.26,1.46467,0.97975,1.02033,0.85084,0.69557,0.78633,0.46337,1.48562,0.91047,1.01977,0.00102887,0.00102887,0.00102887
31,763.932,1.49721,0.99479,1.03102,0.85961,0.71735,0.75979,0.43257,1.51966,0.92645,1.0417,0.00100687,0.00100687,0.00100687
32,787.869,1.46057,1.12792,1.05018,0.83393,0.72281,0.77634,0.43257,1.5268,0.97535,1.04043,0.000984864,0.000984864,0.000984864
33,812.264,1.45148,1.01367,1.00644,0.84858,0.70431,0.77491,0.43539,1.50013,0.98962,1.02668,0.000962859,0.000962859,0.000962859
34,837.308,1.47995,1.09985,1.01344,0.91062,0.65694,0.78738,0.4335,1.48244,1.00903,1.01595,0.000940855,0.000940855,0.000940855
35,861.679,1.45393,0.98172,1.00015,0.90368,0.68674,0.77119,0.42394,1.5161,0.97356,1.02222,0.00091885,0.00091885,0.00091885
36,885.472,1.41442,0.92053,0.99115,0.85148,0.68982,0.77218,0.44453,1.49629,0.98206,1.02229,0.000896846,0.000896846,0.000896846
37,909.572,1.41361,0.93404,0.96083,0.83897,0.70373,0.78115,0.4465,1.49561,0.90994,1.01771,0.000874842,0.000874842,0.000874842
38,933.853,1.38745,0.9035,0.98242,0.82008,0.6759,0.75496,0.44306,1.48959,0.95043,1.01443,0.000852837,0.000852837,0.000852837
39,957.504,1.39521,0.90722,1.0093,0.89899,0.65013,0.75226,0.41727,1.566,1.0086,1.04969,0.000830833,0.000830833,0.000830833
40,981.807,1.3571,0.88424,0.98909,0.93505,0.65997,0.76866,0.41864,1.57771,0.99799,1.06087,0.000808828,0.000808828,0.000808828
41,1005.7,1.36663,0.90023,0.97502,0.91504,0.66233,0.76653,0.43452,1.52867,1.00886,1.03012,0.000786824,0.000786824,0.000786824
42,1029.92,1.36132,0.8461,0.95994,0.87239,0.66808,0.75515,0.43719,1.48673,0.95801,1.01144,0.00076482,0.00076482,0.00076482
43,1053.86,1.39556,0.95016,0.99917,0.84849,0.66625,0.78035,0.43586,1.49355,0.92798,1.01952,0.000742815,0.000742815,0.000742815
44,1078.11,1.36621,0.86676,0.97936,0.78618,0.71186,0.77927,0.43301,1.59296,0.90511,1.04822,0.000720811,0.000720811,0.000720811
45,1102.48,1.35329,0.89002,0.95845,0.87737,0.69557,0.7725,0.43274,1.51922,0.91617,1.02346,0.000698806,0.000698806,0.000698806
46,1128.45,1.38922,0.88365,0.98608,0.82257,0.70976,0.77326,0.42639,1.55061,0.94603,1.02111,0.000676802,0.000676802,0.000676802
47,1152.65,1.31281,0.85988,0.97033,0.85832,0.70426,0.77742,0.41926,1.58419,0.96447,1.03414,0.000654798,0.000654798,0.000654798
48,1176.88,1.30419,0.81916,0.97598,0.79425,0.70673,0.73381,0.41724,1.49478,0.94151,1.00535,0.000632793,0.000632793,0.000632793
49,1200.75,1.32846,0.81718,0.95542,0.81445,0.65884,0.72298,0.41864,1.47659,0.9733,1.00156,0.000610789,0.000610789,0.000610789
50,1224.67,1.32439,0.87316,0.94507,0.94071,0.65298,0.76213,0.44089,1.46812,0.92754,1.00996,0.000588784,0.000588784,0.000588784
51,1248.16,1.35492,0.80784,0.96294,0.90545,0.6735,0.76568,0.4337,1.52698,0.91813,1.03177,0.00056678,0.00056678,0.00056678
52,1271.87,1.32033,0.83759,0.98135,0.9066,0.68499,0.77369,0.44745,1.47784,0.95095,1.01476,0.000544776,0.000544776,0.000544776
53,1295.66,1.28388,0.79611,0.93507,0.87295,0.6765,0.76595,0.44482,1.4712,0.99755,1.00389,0.000522771,0.000522771,0.000522771
54,1320.1,1.28488,0.78499,0.94883,0.82731,0.72247,0.76615,0.45031,1.45184,0.94596,0.997,0.000500767,0.000500767,0.000500767
