epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.136,1.5544,3.45859,1.29774,0.54976,0.67607,0.58253,0.32213,1.5342,1.8356,1.30213,0.000474235,0.000474235,0.000474235
2,377.301,1.58214,1.62862,1.25286,0.62785,0.54272,0.59136,0.33426,1.59628,1.61566,1.3899,0.000938021,0.000938021,0.000938021
3,564.521,1.56958,1.48365,1.2713,0.74876,0.45156,0.5436,0.28631,1.5235,2.10762,1.30112,0.00138923,0.00138923,0.00138923
4,751.397,1.56703,1.48035,1.24718,0.5209,0.61976,0.56925,0.32067,1.63255,1.44721,1.36686,0.00137241,0.00137241,0.00137241
5,938.024,1.55399,1.45142,1.25879,0.42451,0.57701,0.50848,0.27743,1.48181,1.52874,1.27964,0.00135355,0.00135355,0.00135355
6,1124.48,1.50819,1.32558,1.21859,0.60299,0.61012,0.63227,0.34309,1.50524,1.36835,1.28791,0.00133469,0.00133469,0.00133469
7,1311.14,1.43608,1.17786,1.19094,0.55094,0.61121,0.58142,0.3249,1.51992,1.44306,1.32538,0.00131582,0.00131582,0.00131582
8,1497.72,1.47416,1.23356,1.20747,0.54932,0.62902,0.61584,0.37329,1.46259,1.40343,1.29129,0.00129696,0.00129696,0.00129696
9,1684.34,1.49428,1.22427,1.21528,0.64239,0.57738,0.58914,0.33092,1.50235,1.58604,1.33033,0.0012781,0.0012781,0.0012781
10,1871.01,1.48563,1.2416,1.19244,0.60958,0.5921,0.61955,0.35555,1.37865,1.31013,1.19685,0.00125923,0.00125923,0.00125923
11,2057.62,1.42858,1.14792,1.16373,0.61238,0.62526,0.62278,0.35217,1.4895,1.43049,1.2577,0.00124037,0.00124037,0.00124037
12,2243.84,1.4163,1.12332,1.17475,0.59974,0.6114,0.64288,0.37023,1.50107,1.40279,1.29491,0.00122151,0.00122151,0.00122151
13,2429.83,1.3844,1.07896,1.16127,0.59639,0.60086,0.60722,0.32658,1.55955,1.33555,1.2587,0.00120265,0.00120265,0.00120265
14,2615.98,1.39511,1.08897,1.16332,0.67869,0.62363,0.6721,0.37896,1.46329,1.15271,1.23735,0.00118378,0.00118378,0.00118378
15,2802.6,1.39423,1.03639,1.14147,0.62579,0.66902,0.65438,0.39326,1.39436,1.23608,1.24343,0.00116492,0.00116492,0.00116492
16,2989.04,1.39426,1.0347,1.14895,0.69402,0.61441,0.64615,0.36824,1.55746,1.27728,1.30984,0.00114606,0.00114606,0.00114606
17,3175.56,1.33729,0.99073,1.1169,0.69564,0.6072,0.67504,0.40104,1.32272,1.15719,1.186,0.0011272,0.0011272,0.0011272
18,3361.85,1.33395,0.98446,1.11495,0.69625,0.65379,0.68154,0.4057,1.31776,1.12055,1.16642,0.00110833,0.00110833,0.00110833
19,3547.88,1.36067,0.98662,1.13244,0.68756,0.6165,0.6457,0.3698,1.38319,1.23468,1.23851,0.00108947,0.00108947,0.00108947
20,3733.95,1.32857,0.98719,1.12817,0.71814,0.6319,0.67984,0.37977,1.33559,1.12329,1.21194,0.00107061,0.00107061,0.00107061
21,3920.28,1.32199,0.9496,1.10399,0.73249,0.62142,0.67339,0.41045,1.30461,1.10294,1.14619,0.00105174,0.00105174,0.00105174
